time_milli,total,unsolicited,schedule1,candidates,schedule2
3771272,8,7,4,1,1
3773177,8,0,4,4,4
3775048,8,6,4,2,2
3777483,8,0,4,4,4
3779010,8,6,4,2,2
3780776,8,0,4,4,4
3781362,8,6,4,2,2
3785095,8,0,4,4,4
3787804,8,0,4,4,4
3788333,8,7,4,1,1
3792254,8,0,4,4,4
3792711,8,7,4,1,1
3795352,8,0,4,4,4
3796117,8,5,4,3,2
3797902,8,0,4,4,4
3799130,8,7,4,1,1
3801945,8,0,4,4,4
3802973,8,7,4,1,1
3804919,8,0,4,4,4
3807071,8,6,4,2,2
3810491,8,0,4,4,4
3812580,8,7,4,1,1
3814869,8,0,4,4,4
3815924,8,7,4,1,1
3819381,8,0,4,4,4
3819922,8,4,4,4,4
3823326,8,0,4,4,4
3825107,8,5,4,3,2
3829868,8,0,4,4,4
3830842,8,5,4,3,2
3833361,8,0,4,4,4
3833809,8,5,4,3,2
3835865,8,0,4,4,4
3837093,8,5,4,3,2
3841644,8,0,4,4,4
3842908,8,6,4,2,2
3846993,8,0,4,4,4
3847432,8,7,4,1,1
3849865,8,0,4,4,4
3851464,8,7,4,1,1
3856612,8,0,4,4,4
3858710,8,5,4,3,2
3861572,8,0,4,4,4
3862029,8,5,4,3,2
3866368,8,0,4,4,4
3869965,8,3,4,4,4
3874038,8,0,4,4,4
3875141,8,5,4,3,2
3880393,8,0,4,4,4
3883650,8,6,4,2,2
3887849,8,0,4,4,4
3889676,8,7,4,1,1
3890640,8,0,4,4,4
3890825,8,7,4,1,1
3893236,8,0,4,4,4
3893792,8,4,4,4,4
3897237,8,0,4,4,4
3897703,8,6,4,2,2
3902679,8,0,4,4,4
3904278,8,6,4,2,2
3907789,8,0,4,4,4
3908291,8,7,4,1,1
3910478,8,0,4,4,4
3911497,8,7,4,1,1
3913841,8,0,4,4,4
3914971,8,0,4,4,4
3916035,8,5,4,3,2
3919873,8,0,4,4,4
3920330,8,6,4,2,2
3924879,8,0,4,4,4
3925867,8,0,4,4,4
3926369,8,6,4,2,2
3929238,8,0,4,4,4
3930864,8,6,4,2,2
3932755,8,0,4,4,4
3934327,8,7,4,1,1
3937278,8,0,4,4,4
3938904,8,7,4,1,1
3941228,8,0,4,4,4
3942328,8,7,4,1,1
3944177,8,0,4,4,4
3945664,8,0,4,4,4
3949022,8,0,4,4,4
3951268,8,0,4,4,4
3951707,8,6,4,2,2
3954580,8,0,4,4,4
3955184,8,5,4,3,2
3957140,8,0,4,4,4
3957579,8,6,4,2,2
3960793,8,0,4,4,4
3961259,8,5,4,3,2
3964661,8,0,4,4,4
3965689,8,4,4,4,4
3970141,8,0,4,4,4
3971187,8,5,4,3,2
3973004,8,0,4,4,4
3974558,8,5,4,3,2
3977308,8,0,4,4,4
3977756,8,7,4,1,1
3981478,8,0,4,4,4
3983612,8,5,4,3,2
3985328,8,0,4,4,4
3987417,8,6,4,2,2
3991103,8,0,4,4,4
3992693,8,6,4,2,2
3997991,8,0,4,4,4
3998448,8,6,4,2,2
4001454,8,0,4,4,4
4002999,8,5,4,3,2
4004783,8,0,4,4,4
4006400,8,4,4,4,4
4010642,8,0,4,4,4
4013076,8,7,4,1,1
